PID,BIAS,RELATEDNESS,REPS,POSITION,CUE,DomRel,DomUnrel,SubRel,SubUnrel,ANSWER,MS,TICS,MS.3.STDEV,IQR,,PID,MEAN,STDEV,MIN,MAX,MEDIAN,IQR,Min,Max,CountCorrect
1,filler,related,long,1,INJURY,INJURY -- HURT,,,,M,1395.00,84,1395.00,1395,,38,2899.20,2147.02,200.00,9340.27,2403.50,1536.25,200.00,4707.88,94%
1,filler,related,long,79,CONCLUDE,CONCLUDE -- END,,,,M,1848.00,111,1848.00,1848,,39,4451.32,4579.69,200.00,18190.39,2772.50,2743.00,200.00,6887.00,95%
1,filler,related,long,100,WEARY,WEARY -- TIRED,,,,M,2137.00,129,2137.00,2137,,40,1148.26,375.04,200.00,2273.37,1106.00,385.75,200.00,1684.63,94%
1,filler,related,long,130,ATOM,ATOM -- BOMB,,,,C,2396.00,144,2396.00,2396,,41,1140.95,502.08,200.00,2647.19,1077.00,423.00,200.00,1711.50,89%
1,filler,related,long,77,CAVITY,CAVITY -- TOOTH,,,,M,3041.00,182,3041.00,3041,,42,2253.31,1122.67,200.00,5621.31,1973.50,861.00,200.00,3265.00,95%
1,filler,related,long,74,STORY,STORY -- BOOK,,,,M,3873.00,233,3873.00,3873,,43,824.65,492.19,200.00,2301.24,747.00,221.50,200.00,1079.25,82%
1,filler,related,long,37,BUZZ,BUZZ -- BEE,,,,M,4664.00,279,4664.00,4664,,44,1203.20,500.57,200.00,2704.92,1128.50,559.25,200.00,1967.38,90%
1,filler,related,long,107,FOREST,FOREST -- TREE,,,,M,4856.00,291,4856.00,4856,,45,1358.86,567.07,200.00,3060.08,1224.00,592.00,200.00,2112.00,89%
1,filler,related,long,65,BOULDER,BOULDER -- ROCK,,,,M,5888.00,353,5888.00,5888,,46,1632.11,694.02,200.00,3714.17,1474.00,746.50,200.00,2593.75,86%
1,filler,related,long,132,ATLAS,ATLAS -- MAP,,,,C,6959.00,417,6959.00,,,47,1656.09,825.23,200.00,4131.78,1492.50,681.25,200.00,2514.38,95%
1,filler,related,long,32,EASY,EASY -- HARD,,,,C,7359.00,441,7359.00,,,48,1355.63,528.42,200.00,2940.88,1206.00,440.25,200.00,1866.38,93%
1,filler,related,long,4,BITTER,BITTER -- SWEET,,,,C,7963.00,478,7963.00,,,49,1299.60,615.07,200.00,3144.82,1157.50,566.25,200.00,2006.88,93%
1,filler,related,long,72,DISLIKE,DISLIKE -- HATE,,,,C,10200.00,612,10200.00,,,50,3202.84,2483.27,200.00,10652.64,2575.00,3222.25,200.00,7408.38,89%
1,filler,related,long,33,ROW,ROW -- BOAT,,,,C,15385.00,923,,,,51,4689.00,5900.78,200.00,22391.35,2847.00,3195.00,200.00,7639.50,92%
1,filler,related,short,131,LOAF,LOAF -- BREAD,,,,M,1612.00,96,1612.00,1612,,52,2450.07,2153.37,200.00,8910.19,1803.50,1059.50,200.00,3392.75,93%
1,filler,related,short,53,CONTACT,CONTACT -- TOUCH,,,,M,2084.00,125,2084.00,2084,,53,2002.69,720.09,200.00,4162.95,1884.00,856.25,200.00,3168.38,92%
1,filler,related,short,125,FEATHERS,FEATHERS -- BIRD,,,,M,2173.00,130,2173.00,2173,,54,2186.86,1345.71,200.00,6223.98,1866.00,1133.75,200.00,3566.63,89%
1,filler,related,short,12,LENS,LENS -- GLASSES,,,,M,2424.00,146,2424.00,2424,,55,1904.27,769.14,200.00,4211.67,1706.50,855.75,200.00,2990.13,97%
1,filler,related,short,122,FLESH,FLESH -- SKIN,,,,M,2468.00,148,2468.00,2468,,56,1934.45,1030.57,200.00,5026.16,1601.50,1235.75,200.00,3455.13,94%
1,filler,related,short,85,ASTRONOMY,ASTRONOMY -- STAR,,,,M,2476.00,149,2476.00,2476,,57,1792.89,893.49,200.00,4473.37,1463.00,823.25,200.00,2697.88,93%
1,filler,related,short,3,JOURNEY,JOURNEY -- TRIP,,,,M,2507.00,150,2507.00,2507,,58,917.73,219.46,220.03,1576.09,896.00,248.50,200.00,1268.75,88%
1,filler,related,short,93,SOLE,SOLE -- SHOES,,,,M,2564.00,154,2564.00,2564,,59,2167.27,1178.53,200.00,5702.87,1784.50,927.00,200.00,3175.00,93%
1,filler,related,short,126,REFLECT,REFLECT -- MIRROR,,,,M,2588.00,156,2588.00,2588,,60,1318.99,620.52,200.00,3180.56,1221.00,469.25,200.00,1924.88,96%
1,filler,related,short,24,GROVE,GROVE -- ORANGE,,,,C,2615.00,157,2615.00,2615,,61,2337.73,1286.12,200.00,6196.09,2041.00,1131.25,200.00,3737.88,95%
1,filler,related,short,102,UNHAPPY,UNHAPPY -- SAD,,,,M,2662.00,160,2662.00,2662,,62,4159.86,2335.39,200.00,11166.04,3200.00,2964.00,200.00,7646.00,81%
1,filler,related,short,118,PASTURE,PASTURE -- GRAZE,,,,C,3708.00,222,3708.00,3708,,63,1063.69,316.77,200.00,2014.01,1002.00,368.25,200.00,1554.38,92%
1,filler,related,short,129,MINTS,MINTS -- CANDY,,,,M,3868.00,232,3868.00,3868,,64,2355.57,1287.89,200.00,6219.25,2165.00,1302.75,200.00,4119.13,89%
1,filler,related,short,21,SPARE,SPARE -- TIRE,,,,M,4656.00,280,4656.00,4656,,65,1137.32,380.09,200.00,2277.60,1068.00,444.00,200.00,1734.00,90%
1,filler,related,short,70,FORGIVE,FORGIVE -- FORGET,,,,C,9717.00,583,9717.00,,,66,1160.67,405.20,200.00,2376.27,1072.00,459.50,200.00,1761.25,97%
1,filler,unrelated,long,17,LAWYER,LAWYER -- AIRPLANE,,,,C,1779.00,107,1779.00,1779,,,,,,,,,,,
1,filler,unrelated,long,58,BED,BED -- EGG,,,,C,1833.00,110,1833.00,1833,,,,,,,,,,,
1,filler,unrelated,long,109,BASKET,BASKET -- SMART,,,,C,2524.00,152,2524.00,2524,,,,,,,,,,,
1,filler,unrelated,long,128,LAMP,LAMP -- FORTUNE,,,,C,2895.00,174,2895.00,2895,,,,,,,,,,,
1,filler,unrelated,long,60,DEBUT,DEBUT -- STRETCH,,,,C,2914.00,175,2914.00,2914,,,,,,,,,,,
1,filler,unrelated,long,103,COSTUME,COSTUME -- EXERCISE,,,,C,3312.00,199,3312.00,3312,,,,,,,,,,,
1,filler,unrelated,long,73,APPLAUSE,APPLAUSE -- RIFLE,,,,C,3951.00,237,3951.00,3951,,,,,,,,,,,
1,filler,unrelated,long,2,COIN,COIN -- DETAIL,,,,C,3998.00,240,3998.00,3998,,,,,,,,,,,
1,filler,unrelated,long,61,FELLOW,FELLOW -- RUB,,,,C,4321.00,260,4321.00,4321,,,,,,,,,,,
1,filler,unrelated,long,88,SURPLUS,SURPLUS -- LANDING,,,,C,4489.00,269,4489.00,4489,,,,,,,,,,,
1,filler,unrelated,long,6,SPONSOR,SPONSOR -- POET,,,,C,4573.00,274,4573.00,4573,,,,,,,,,,,
1,filler,unrelated,long,90,WARRANT,WARRANT -- SICK,,,,C,5035.00,302,5035.00,5035,,,,,,,,,,,
1,filler,unrelated,long,78,SAIL,SAIL -- LEASE,,,,C,5560.00,334,5560.00,5560,,,,,,,,,,,
1,filler,unrelated,long,11,FRAME,FRAME -- SHORT,,,,C,5653.00,339,5653.00,5653,,,,,,,,,,,
1,filler,unrelated,long,9,MARGIN,MARGIN -- MEDICINE,,,,C,6701.00,402,6701.00,6701,,,,,,,,,,,
1,filler,unrelated,short,25,LOCATION,LOCATION -- LUNCH,,,,C,992.00,59,992.00,992,,,,,,,,,,,
1,filler,unrelated,short,52,CREST,CREST -- CAT,,,,C,1596.00,96,1596.00,1596,,,,,,,,,,,
1,filler,unrelated,short,51,MASON,MASON -- KNEE,,,,C,1948.00,116,1948.00,1948,,,,,,,,,,,
1,filler,unrelated,short,101,LIME,LIME -- WING,,,,C,2164.00,130,2164.00,2164,,,,,,,,,,,
1,filler,unrelated,short,69,MORTAL,MORTAL -- FLAG,,,,C,2420.00,145,2420.00,2420,,,,,,,,,,,
1,filler,unrelated,short,57,UNCLE,UNCLE -- GIRAFFE,,,,C,2436.00,146,2436.00,2436,,,,,,,,,,,
1,filler,unrelated,short,36,TREND,TREND -- OCEAN,,,,C,2509.00,150,2509.00,2509,,,,,,,,,,,
1,filler,unrelated,short,5,PENALTY,PENALTY -- GUITAR,,,,C,3249.00,195,3249.00,3249,,,,,,,,,,,
1,filler,unrelated,short,117,STEEL,STEEL -- FAST,,,,C,3444.00,206,3444.00,3444,,,,,,,,,,,
1,filler,unrelated,short,81,ARMY,ARMY -- QUESTION,,,,C,3484.00,209,3484.00,3484,,,,,,,,,,,
1,filler,unrelated,short,96,DITCH,DITCH -- SHEETS,,,,C,3804.00,228,3804.00,3804,,,,,,,,,,,
1,filler,unrelated,short,97,RAIN,RAIN -- MONEY,,,,C,3932.00,236,3932.00,3932,,,,,,,,,,,
1,filler,unrelated,short,127,GRAPH,GRAPH -- CROSS,,,,C,4374.00,262,4374.00,4374,,,,,,,,,,,
1,filler,unrelated,short,14,STRAIN,STRAIN -- SONG,,,,C,4937.00,296,4937.00,4937,,,,,,,,,,,
1,filler,unrelated,short,104,JURY,JURY -- KISS,,,,C,5357.00,322,5357.00,5357,,,,,,,,,,,
1,subordinate,related,long,13,CALF,CALF -- COW,CALF -- BAY,CALF -- LEG,CALF -- TEA,M,1508.00,90,1508.00,1508,,,,,,,,,,,
1,subordinate,related,long,38,FAULT,FAULT -- BLAME,FAULT -- PANTS,FAULT -- EARTHQUAKE,FAULT -- LABORATORY,C,2545.00,152,2545.00,2545,,,,,,,,,,,
1,subordinate,related,long,108,BATTERY,BATTERY -- ACID,BATTERY -- MENU,BATTERY -- ASSAULT,BATTERY -- COOKIES,C,2869.00,172,2869.00,2869,,,,,,,,,,,
1,subordinate,related,long,23,TIP,TIP -- GRATUITY,TIP -- SINKHOLE,TIP -- POINT,TIP -- PARTY,M,3667.00,220,3667.00,3667,,,,,,,,,,,
1,subordinate,related,long,49,HABIT,HABIT -- CUSTOM,HABIT -- GALAXY,HABIT -- NUN,HABIT -- JAW,M,3809.00,228,3809.00,3809,,,,,,,,,,,
1,subordinate,related,long,84,POOL,POOL -- WATER,POOL -- PHONE,POOL -- BILLIARDS,POOL -- PORCUPINE,C,4176.00,251,4176.00,4176,,,,,,,,,,,
1,subordinate,related,long,39,PALM,PALM -- HAND,PALM -- DOOR,PALM -- TREE,PALM -- SUIT,M,4327.00,260,4327.00,4327,,,,,,,,,,,
1,subordinate,related,long,30,FOOT,FOOT -- TOE,FOOT -- NAP,FOOT -- INCH,FOOT -- CLAY,C,6094.00,366,6094.00,6094,,,,,,,,,,,
1,subordinate,related,long,86,RULER,RULER -- MEAURE,RULER -- CANDLES,RULER -- KING,RULER -- SIGN,M,10065.00,604,10065.00,,,,,,,,,,,,
1,subordinate,related,short,8,PLOT,PLOT -- NOVEL,PLOT -- TAXES,PLOT -- LAND,PLOT -- SONG,M,1761.00,106,1761.00,1761,,,,,,,,,,,
1,subordinate,related,short,115,POWER,POWER -- STRENGTH,POWER -- STOMACH,POWER -- ELECTRICITY,POWER -- PHOTOGRAPH,M,1909.00,114,1909.00,1909,,,,,,,,,,,
1,subordinate,related,short,91,YARD,YARD -- FENCE,YARD -- BOXES,YARD -- MILE,YARD -- CURE,M,3580.00,215,3580.00,3580,,,,,,,,,,,
1,subordinate,related,short,48,CYCLE,CYCLE -- BIKE,CYCLE -- SOUP,CYCLE -- REPETITION,CYCLE -- RHEUMATISM,M,4669.00,280,4669.00,4669,,,,,,,,,,,
1,subordinate,related,short,56,TRUNK,TRUNK -- CAR,TRUNK -- DAD,TRUNK -- ELEPHANT,TRUNK -- ROOMMATE,M,4924.00,296,4924.00,4924,,,,,,,,,,,
1,subordinate,related,short,121,PEN,PEN -- PENCIL,PEN -- SPIDER,PEN -- CAGE,PEN -- LOAN,C,4980.00,299,4980.00,4980,,,,,,,,,,,
1,subordinate,related,short,112,BULB,BULB -- LAMP,BULB -- PIGS,BULB -- FLOWER,BULB -- SCREEN,M,5068.00,305,5068.00,5068,,,,,,,,,,,
1,subordinate,related,short,99,CABINET,CABINET -- KITCHEN,CABINET -- TEACHER,CABINET -- MINISTRY,CABINET -- DISEASES,C,5740.00,344,5740.00,5740,,,,,,,,,,,
1,subordinate,related,short,105,ARMS,ARMS -- BODY,ARMS -- WISH,ARMS -- WEAPONS,ARMS -- NUMBERS,M,9173.00,551,9173.00,,,,,,,,,,,,
1,subordinate,unrelated,long,35,SCALE,SCALE -- HEAVY,SCALE -- TEETH,SCALE -- FISH,SCALE -- COPS,C,2330.00,140,2330.00,2330,,,,,,,,,,,
1,subordinate,unrelated,long,34,CLOG,CLOG -- DRAIN,CLOG -- LASER,CLOG -- SHOE,CLOG -- FARM,C,2387.00,143,2387.00,2387,,,,,,,,,,,
1,subordinate,unrelated,long,106,GAS,GAS -- PETROLEUM,GAS -- HOUSEWORK,GAS -- SOLID,GAS -- PURSE,C,2401.00,144,2401.00,2401,,,,,,,,,,,
1,subordinate,unrelated,long,83,RACKET,RACKET -- TENNIS,RACKET -- RUBBER,RACKET -- NOISE,RACKET -- MODEL,C,3191.00,192,3191.00,3191,,,,,,,,,,,
1,subordinate,unrelated,long,92,STAFF,STAFF -- WORK,STAFF -- NAME,STAFF -- STICK,STAFF -- FLOOR,C,3361.00,202,3361.00,3361,,,,,,,,,,,
1,subordinate,unrelated,long,59,CLUB,CLUB -- PEOPLE,CLUB -- MINUTE,CLUB -- WOOD,CLUB -- WIRE,C,3664.00,220,3664.00,3664,,,,,,,,,,,
1,subordinate,unrelated,long,111,BANK,BANK -- VAULT,BANK -- BACON,BANK -- RIVER,BANK -- QUEEN,C,3827.00,230,3827.00,3827,,,,,,,,,,,
1,subordinate,unrelated,long,87,HORN,HORN -- TRUMPET,HORN -- CHIMNEY,HORN -- ANTLER,HORN -- VANDAL,C,4736.00,284,4736.00,4736,,,,,,,,,,,
1,subordinate,unrelated,long,75,DEGREE,DEGREE -- COLLEGE,DEGREE -- WEDDING,DEGREE -- TEMPERATURE,DEGREE -- DESCRIPTION,C,4776.00,287,4776.00,4776,,,,,,,,,,,
1,subordinate,unrelated,short,124,COAT,COAT -- JACKET,COAT -- ENERGY,COAT -- PAINT,COAT -- GHOST,C,1453.00,87,1453.00,1453,,,,,,,,,,,
1,subordinate,unrelated,short,89,MARBLE,MARBLE -- STONE,MARBLE -- GUEST,MARBLE -- ROUND,MARBLE -- BOOKS,C,2589.00,155,2589.00,2589,,,,,,,,,,,
1,subordinate,unrelated,short,19,BALL,BALL -- BOUNCE,BALL -- RANSOM,BALL -- DANCE,BALL -- SENSE,C,2722.00,164,2722.00,2722,,,,,,,,,,,
1,subordinate,unrelated,short,43,SHOWER,SHOWER -- BATH,SHOWER -- LIPS,SHOWER -- RAIN,SHOWER -- RISK,C,2804.00,168,2804.00,2804,,,,,,,,,,,
1,subordinate,unrelated,short,120,FAN,FAN -- AIR,FAN -- WAR,FAN -- SPORTS,FAN -- CLOSET,C,3204.00,192,3204.00,3204,,,,,,,,,,,
1,subordinate,unrelated,short,10,SEAL,SEAL -- ANIMAL,SEAL -- BRIDGE,SEAL -- ENVELOPE,SEAL -- DYNAMITE,C,3248.00,195,3248.00,3248,,,,,,,,,,,
1,subordinate,unrelated,short,64,STRAW,STRAW -- HAY,STRAW -- DOT,STRAW -- DRINK,STRAW -- DEATH,C,3533.00,212,3533.00,3533,,,,,,,,,,,
1,subordinate,unrelated,short,116,YARN,YARN -- WOOL,YARN -- FERN,YARN -- STORY,YARN -- HANDS,C,4309.00,258,4309.00,4309,,,,,,,,,,,
1,subordinate,unrelated,short,68,JOINT,JOINT -- ELBOW,JOINT -- MINES,JOINT -- MARIJUANA,JOINT -- ORCHESTRA,C,4805.00,288,4805.00,4805,,,,,,,,,,,
2,dominant,related,long,96,IRON,IRON -- METAL,IRON -- DRAMA,IRON -- CLOTHES,IRON -- MISTAKE,M,922.00,55,922.00,922,,,,,,,,,,,
2,dominant,related,long,8,KEY,KEY -- LOCK,KEY -- AUNT,KEY -- PIANO,KEY -- PILLS,M,983.00,59,983.00,983,,,,,,,,,,,
2,dominant,related,long,30,CRICKET,CRICKET -- INSECT,CRICKET -- LOTION,CRICKET -- SPORT,CRICKET -- SHORE,M,1001.00,60,1001.00,1001,,,,,,,,,,,
2,dominant,related,long,106,NET,NET -- SOCCER,NET -- EMPIRE,NET -- PROFIT,NET -- RHYTHM,M,1168.00,70,1168.00,1168,,,,,,,,,,,
2,dominant,related,long,88,PUPIL,PUPIL -- STUDENT,PUPIL -- OPINION,PUPIL -- EYE,PUPIL -- BAG,M,1329.00,80,1329.00,1329,,,,,,,,,,,
2,dominant,related,long,85,MASS,MASS -- WEIGHT,MASS -- DOLLAR,MASS -- CHURCH,MASS -- PRISON,M,1505.00,90,1505.00,1505,,,,,,,,,,,
2,dominant,related,long,104,SHOCK,SHOCK -- SURPRISE,SHOCK -- UPSTAIRS,SHOCK -- STATIC,SHOCK -- RIBBON,M,1609.00,96,1609.00,1609,,,,,,,,,,,
2,dominant,related,long,66,POKER,POKER -- CHIPS,POKER -- SALAD,POKER -- FIRE,POKER -- DEAR,M,1933.00,116,1933.00,1933,,,,,,,,,,,
2,dominant,related,long,65,NOTE,NOTE -- MEMO,NOTE -- MICE,NOTE -- MUSIC,NOTE -- DREAM,M,3482.00,208,3482.00,,,,,,,,,,,,
2,dominant,related,short,31,DIAMOND,DIAMOND -- GEM,DIAMOND -- RIM,DIAMOND -- BASEBALL,DIAMOND -- UNIVERSE,M,572.00,34,572.00,572,,,,,,,,,,,
2,dominant,related,short,29,DIGIT,DIGIT -- NUMBER,DIGIT -- DOCTOR,DIGIT -- FINGER,DIGIT -- MARKET,M,676.00,41,676.00,676,,,,,,,,,,,
2,dominant,related,short,43,DOUGH,DOUGH -- BREAD,DOUGH -- PLANT,DOUGH -- MONEY,DOUGH -- YEARS,M,748.00,45,748.00,748,,,,,,,,,,,
2,dominant,related,short,22,GRADE,GRADE -- EVALUATION,GRADE -- MICROPHONE,GRADE -- INCLINE,GRADE -- ICICLES,M,802.00,48,802.00,802,,,,,,,,,,,
2,dominant,related,short,115,KID,KID -- CHILD,KID -- STATE,KID -- GOAT,KID -- DICE,M,886.00,53,886.00,886,,,,,,,,,,,
2,dominant,related,short,26,LETTER,LETTER -- MAIL,LETTER -- LAKE,LETTER -- ALPHABET,LETTER -- SEDATIVE,M,1084.00,65,1084.00,1084,,,,,,,,,,,
