Article,Year,Experiment,Source,Coded.Source,Type,DF,SS,MSE,F/t,Partial.Eta,n.e,m.e,s.e,n.c,m.c,s.c
Balota,1997,3,Age.Frq.Reps,aPR,BW,2,,,,,,,,,,
Balota,1997,3,Age.Phon.Rel.Reps,aQR,BW,2,,,,,,,,,,
Balota,1997,3,Frq.Phon.Rel.Reps,PQR,Within,2,,,,,,,,,,
Balota,1997,3,Age.Frq.Phon.Rel.Reps,aPQR,BW,2,,,,,,,,,,
Balota,1997,3,Subjects,s/a,Residual,70,837391,11963,NA,NA,,,,,,
Balota,1997,3,Freq.Subj,Ps/a,Residual,70,98115,1402,NA,NA,,,,,,
Balota,1997,3,Phon.Phon.Relatedness.Subj,Qs/a,Residual,70,59221,846,NA,NA,,,,,,
Balota,1997,3,Repetitions.Subj,Rs/a,Residual,140,,,NA,NA,,,,,,
Balota,1997,3,Age.Frq.Subj,aPs/a,Residual,70,,,NA,NA,,,,,,
Balota,1997,3,Age.Phon.Rel.Subj,aQs/a,Residual,70,,,NA,NA,,,,,,
Balota,1997,3,Age.Reps.Subj,aRs/a,Residual,70,,,NA,NA,,,,,,
Balota,1997,3,Frq.Phon.Rel.Subj,PQs/a,Residual,70,192265,2747,NA,NA,,,,,,
Balota,1997,3,Frq.Reps.Subj,PRs/a,Residual,70,,,NA,NA,,,,,,
Balota,1997,3,Phon.Rel.Reps.Subj,QRs/a,Residual,140,1442211,10302,NA,NA,,,,,,
Balota,1997,3,Age.Frq.Phon.Rel.Subj,aPQs/a,Residual,70,,,NA,NA,,,,,,
Balota,1997,3,Age.Frq.Reps.Subj,aPRs/a,Residual,140,,,NA,NA,,,,,,
Balota,1997,3,Age.Phon.Rel.Reps.Subj,aQRs/a,Residual,140,,,NA,NA,,,,,,
Balota,1997,3,Frq.Phon.Rel.Reps.Subj,PQRs/a,Residual,140,,,NA,NA,,,,,,
Balota,1997,3,Age.Frq.Phon.Rel.Reps.Subj,aPQRs/a,Residual,140,,,NA,NA,,,,,,
Balota,1997,4,Age,a,Between,1,1628123,1628123,19.26,0.22,,,,,,
Balota,1997,4,Strength,P,Within,1,15369,15369,44.17,0.39,,,,,,
Balota,1997,4,Relatedness,Q,Within,1,79092,79092,75,0.52,,,,,,
Balota,1997,4,Repetitions,R,Within,2,38996,19498,15.26,0.18,,,,,,
Balota,1997,4,Age.Str,aP,BW,1,15369,15369,8.34,0.11,,,,,,
Balota,1997,4,Age.Rel,aQ,BW,1,79092,79092,7.37,0.1,,,,,,
Balota,1997,4,Age.Reps,aR,BW,1,,,,,,,,,,
Balota,1997,4,Str.Rel,PQ,Within,1,18153,18153,52.67,0.43,,,,,,
Balota,1997,4,Str.Reps,PR,Within,1,,,,,,,,,,
Balota,1997,4,Rel.Reps,QR,Within,2,,,,,,,,,,
Balota,1997,4,Age.Str.Rel,aPQ,BW,1,,,,,,,,,,
Balota,1997,4,Age.Str.Reps,aPR,BW,2,,,,,,,,,,
Balota,1997,4,Age.Rel.Reps,aQR,BW,2,,,,,,,,,,
Balota,1997,4,Str.Rel.Reps,PQR,Within,2,,,,,,,,,,
Balota,1997,4,Age.Str.Rel.Reps,aPQR,BW,2,,,,,,,,,,
Balota,1997,4,Subjects,s/a,Residual,70,5917373,84534,NA,NA,,,,,,
Balota,1997,4,Strength.Subj,Ps/a,Residual,70,24357,348,NA,NA,,,,,,
Balota,1997,4,Relatedness.Subj,Qs/a,Residual,70,73819,1055,NA,NA,,,,,,
Balota,1997,4,Repetitions.Subj,Rs/a,Residual,140,178881,1278,NA,NA,,,,,,
Balota,1997,4,Age.Str.Subj,aPs/a,Residual,70,128996,1843,NA,NA,,,,,,
Balota,1997,4,Age.Rel.Subj,aQs/a,Residual,70,751213,10732,NA,NA,,,,,,
Balota,1997,4,Age.Reps.Subj,aRs/a,Residual,70,,,NA,NA,,,,,,
Balota,1997,4,Str.Rel.Subj,PQs/a,Residual,70,24126,345,NA,NA,,,,,,
Balota,1997,4,Str.Reps.Subj,PRs/a,Residual,70,,,NA,NA,,,,,,
Balota,1997,4,Rel.Reps.Subj,QRs/a,Residual,140,,,NA,NA,,,,,,
Balota,1997,4,Age.Str.Rel.Subj,aPQs/a,Residual,70,,,NA,NA,,,,,,
Balota,1997,4,Age.Str.Reps.Subj,aPRs/a,Residual,140,,,NA,NA,,,,,,
Balota,1997,4,Age.Rel.Reps.Subj,aQRs/a,Residual,140,,,NA,NA,,,,,,
Balota,1997,4,Str.Rel.Reps.Subj,PQRs/a,Residual,140,,,NA,NA,,,,,,
Balota,1997,4,Age.Str.Rel.Reps.Subj,aPQRs/a,Residual,140,,,NA,NA,,,,,,
Black,2001,1,Relatedness,P,Within,1,,,,,,,,,,
Black,2001,1,Homograph,Q,Within,2,31745.18,15872.59,33.9,0.32,,,,,,
Black,2001,1,Repetitions,R,Within,2,,,,,72,1354,5.54,72,1327.5,5.4
Black,2001,1,Rel.Hom,PQ,Within,3,,,,,,,,,,
Black,2001,1,Rel.Reps,PR,Within,3,,,,,,,,,,
Black,2001,1,Hom.Reps,QR,Within,4,60162.92,15040.73,1.93,0.03,,,,,,
Black,2001,1,Rel.Hom.Reps,PQR,Within,5,,,,,,,,,,
Black,2001,1,Subjects,s,Residual,71,,,NA,NA,,,,,,
Black,2001,1,Rel.Subj,Ps,Residual,71,,,NA,NA,,,,,,
Black,2001,1,Hom.Subj,Qs,Residual,142,66478.24,468.22,NA,NA,,,,,,
Black,2001,1,Reps.Subj,Rs,Residual,142,,,NA,NA,,,,,,
Black,2001,1,Rel.Hom.Subj,PQs,Residual,213,,,NA,NA,,,,,,
Black,2001,1,Rel.Reps.Subj,PRs,Residual,213,,,NA,NA,,,,,,
Black,2001,1,Hom.Reps.Subj,QRs,Residual,284,2213246.08,7793.12,NA,NA,,,,,,
Black,2001,1,Rel.Hom.Reps.Subj,PQRs,Residual,355,,,NA,NA,,,,,,
Black,2001,2,Relatedness,P,Within,1,,,,,,,,,,
Black,2001,2,Homograph,Q,Within,1,,,,,,,,,,
Black,2001,2,Repetitions,R,Within,2,,,,,60,1296,4.13,60,1208,3.27
Black,2001,2,Rel.Hom,PQ,Within,2,,,,,,,,,,
Black,2001,2,Rel.Reps,PR,Within,3,,,,,,,,,,
Black,2001,2,Hom.Reps,QR,Within,3,,,,,,,,,,
Black,2001,2,Rel.Hom.Reps,PQR,Within,4,,,,,,,,,,
Black,2001,2,Subjects,s,Residual,59,,,NA,NA,,,,,,
Black,2001,2,Rel.Subj,Ps,Residual,59,,,NA,NA,,,,,,
Black,2001,2,Hom.Subj,Qs,Residual,59,,,NA,NA,,,,,,
Black,2001,2,Reps.Subj,Rs,Residual,118,,,NA,NA,,,,,,
Black,2001,2,Rel.Hom.Subj,PQs,Residual,118,,,NA,NA,,,,,,
Black,2001,2,Rel.Reps.Subj,PRs,Residual,177,,,NA,NA,,,,,,
Black,2001,2,Hom.Reps.Subj,QRs,Residual,177,,,NA,NA,,,,,,
Black,2001,2,Rel.Hom.Reps.Subj,PQRs,Residual,236,,,NA,NA,,,,,,
Brown,2005,1,Repetitions,P,Within,1,2.29,2.29,22.92,0.5,,,,,,
Brown,2005,1,Subjects,s,Residual,23,,,NA,NA,,,,,,
Brown,2005,1,Reps.Subj,Ps,Residual,23,2.3,0.1,NA,NA,,,,,,
Brown,2005,2,Repetitions,P,Within,1,2.35,2.35,23.11,0.5,,,,,,
Brown,2005,2,Subjects,s,Residual,23,,,NA,NA,,,,,,
Brown,2005,2,Reps.Subj,Ps,Residual,23,2.34,0.1,NA,NA,,,,,,
Brown,2005,3,Repetitions,P,Within,1,2.35,2.35,14.14,0.38,,,,,,
Brown,2005,3,Subjects,s,Residual,23,,,NA,NA,,,,,,
Brown,2005,3,Reps.Subj,Ps,Residual,23,3.82,0.17,NA,NA,,,,,,
Tian,2010,1a,Matching,P,Within,,,,,,,,,,,
Tian,2010,1a,Repetitions,Q,Within,2,,,3.86,0.11,43,620,17,43,595,14
Tian,2010,1a,Match.Reps,PQ,Within,2,,,7.58,0.19,,,,,,
Tian,2010,1a,Subjects,s,Residual,32,,,NA,NA,,,,,,
Tian,2010,1a,Match.Subj,Ps,Residual,,,,NA,NA,,,,,,
Tian,2010,1a,Reps.Subj,Qs,Residual,64,,,NA,NA,,,,,,
Tian,2010,1a,Match.Reps.Subj,PQs,Residual,64,,,NA,NA,,,,,,
Tian,2010,1b,Matching,P,Within,,,,,,,,,,,
Tian,2010,1b,Repetitions,Q,Within,2,,,9.99,0.23,41,604,12,41,579,12
Tian,2010,1b,Match.Reps,PQ,Within,2,,,15.59,0.32,,,,,,
Tian,2010,1b,Subjects,s,Residual,33,,,NA,NA,,,,,,
Tian,2010,1b,Match.Subj,Ps,Residual,,,,NA,NA,,,,,,
Tian,2010,1b,Reps.Subj,Qs,Residual,66,,,NA,NA,,,,,,
Tian,2010,1b,Match.Reps.Subj,PQs,Residual,66,,,NA,NA,,,,,,
Tian,2010,2,Matching,P,Within,1,,,9.98,0.23,,,,,,
Tian,2010,2,Repetitions,Q,Within,2,,,15.5,0.32,40,585,14,40,555,12
Tian,2010,2,Match.Reps,PQ,Within,2,,,,,,,,,,
Tian,2010,2,Subjects,s,Residual,33,,,NA,NA,,,,,,
Tian,2010,2,Match.Subj,Ps,Residual,33,,,NA,NA,,,,,,
Tian,2010,2,Reps.Subj,Qs,Residual,66,,,NA,NA,,,,,,
Tian,2010,2,Match.Reps.Subj,PQs,Residual,66,,,NA,NA,,,,,,
Tian,2010,3,Matching,P,Within,1,,,21.11,0.36,,,,,,
Tian,2010,3,Repetitions,Q,Within,2,,,13.89,0.27,40,422,7,40,413,7
Tian,2010,3,Match.Reps,PQ,Within,2,,,,,,,,,,
Tian,2010,3,Subjects,s,Residual,38,,,NA,NA,,,,,,
Tian,2010,3,Match.Subj,Ps,Residual,38,,,NA,NA,,,,,,
Tian,2010,3,Reps.Subj,Qs,Residual,76,,,NA,NA,,,,,,
Tian,2010,3,Match.Reps.Subj,PQs,Residual,76,,,NA,NA,,,,,,
Kuhl,2011,1,Type,P,Within,,,,,,,,,,,
Kuhl,2011,1,Repetitions,Q,Within,4,,,2.47,0.25,,,,,,
Kuhl,2011,1,Type.Reps,PQ,Within,4,,,1.24,0.14,,,,,,
Kuhl,2011,1,Subjects,s,Residual,30,,,NA,NA,,,,,,
Kuhl,2011,1,Type.Subj,Ps,Residual,,,,NA,NA,,,,,,
Kuhl,2011,1,Reps.Subj,Qs,Residual,120,,,NA,NA,,,,,,
Kuhl,2011,1,Type.Reps.Subj,PQs,Residual,120,,,NA,NA,,,,,,
Kuhl,2011,2,Type,P,Within,,,,,,,,,,,
Kuhl,2011,2,Repetitions,Q,Within,4,,,4.05,0.35,,,,,,
Kuhl,2011,2,Type.Reps,PQ,Within,4,,,,,,,,,,
Kuhl,2011,2,Subjects,s,Residual,30,,,NA,NA,,,,,,
Kuhl,2011,2,Type.Subj,Ps,Residual,,,,NA,NA,,,,,,
Kuhl,2011,2,Reps.Subj,Qs,Residual,120,,,NA,NA,,,,,,
Kuhl,2011,2,Type.Reps.Subj,PQs,Residual,120,,,NA,NA,,,,,,
Black,2013,1,Frequency,P,Within,,,,,,,,,,,
Black,2013,1,Homograph,Q,Within,,,,,,,,,,,
Black,2013,1,Repetitions,R,Within,,,,,,144,887.5,209.5,144,833,193.5
Black,2013,1,Freq.Hom,PQ,Within,,,,,,,,,,,
Black,2013,1,Freq.Reps,PR,Within,,,,,,,,,,,
Black,2013,1,Hom.Reps,QR,Within,,,,,,,,,,,
Black,2013,1,Freq.Hom.Reps,PQR,Within,4,45308,11327,2.7,0.04,,,,,,
Black,2013,1,Subjects,s,Residual,,,,NA,NA,,,,,,
Black,2013,1,Hom.Subj,Ps,Residual,,,,NA,NA,,,,,,
Black,2013,1,Reps.Subj,Qs,Residual,,,,NA,NA,,,,,,
Black,2013,1,Freq.Subj,Rs,Residual,,,,NA,NA,,,,,,
Black,2013,1,Freq.Hom.Subj,PQs,Residual,,,,NA,NA,,,,,,
Black,2013,1,Freq.Reps.Subj,PRs,Residual,,,,NA,NA,,,,,,
Black,2013,1,Hom.Reps.Subj,QRs,Residual,,,,NA,NA,,,,,,
Black,2013,1,Freq.Hom.Reps.Subj,PQRs,Residual,284,1191380,4195,NA,NA,,,,,,
Wetherill,2014,1,Bias,P,Within,1,567169,567169,3.79,0.06,,,,,,
Wetherill,2014,1,Relatedness,Q,Within,1,5118593,5118593,10.7,0.14,,,,,,
Wetherill,2014,1,Repetitions,R,Within,1,1831339,1831339,8.26,0.11,66,1766.4,104.89,66,1586.85,89.17
Wetherill,2014,1,Bias.Rel,PQ,Within,1,583935,583935,5.14,0.07,,,,,,
Wetherill,2014,1,Bias.Reps,PR,Within,1,103489,103489,0.5,0.01,,,,,,
Wetherill,2014,1,Rel.Reps,QR,Within,1,531985,531985,3.27,0.05,,,,,,
Wetherill,2014,1,Bias.Rel.Reps,PQR,Within,1,20396,20396,0.32,0,,,,,,
Wetherill,2014,1,Subjects,s,Residual,65,285615590,4394086,NA,NA,,,,,,
Wetherill,2014,1,Bias.Subj,Ps,Residual,65,9719440,149530,NA,NA,,,,,,
Wetherill,2014,1,Relatedness.Subj,Qs,Residual,65,31121335,478790,NA,NA,,,,,,
Wetherill,2014,1,Repetitions.Subj,Rs,Residual,65,14406208,221634,NA,NA,,,,,,
Wetherill,2014,1,Bias.Rel.Subj,PQs,Residual,65,7385115,113617,NA,NA,,,,,,
Wetherill,2014,1,Bias.Reps.Subj,PRs,Residual,65,13528234,208127,NA,NA,,,,,,
Wetherill,2014,1,Rel.Reps.Subj,QRs,Residual,65,10563487,162515,NA,NA,,,,,,
Wetherill,2014,1,Bias.Rel.Reps.Subj,PQRs,Residual,65,4161239,64019,NA,NA,,,,,,
Wetherill,2014,3,Bias,P,Within,2,24988314,12494157,22.8,0.22,,,,,,
Wetherill,2014,3,Hom.Type,Q,Within,1,116433,116433,0.29,0,,,,,,
Wetherill,2014,3a,Repetitions,R,Within,1,1442910,1442910,2.29,0.03,81,2141.39,142.54,81,2163.05,158.47
Wetherill,2014,3,Bias.Hom.Type,PQ,Within,2,1183615,591808,1.37,0.02,,,,,,
Wetherill,2014,3,Bias.Reps,PR,Within,2,150078,75039,0.2,0,,,,,,
Wetherill,2014,3,Hom.Type.Reps,QR,Within,1,774896,774896,1.53,0.02,,,,,,
Wetherill,2014,3,Bias.Hom.Type.Reps,PQR,Within,2,2110180,1055090,2.33,0.03,,,,,,
Wetherill,2014,3,Subjects,s,Residual,80,1641606960,20520087,NA,NA,,,,,,
Wetherill,2014,3,Bias.Subj,Ps,Residual,160,87854303,549089,NA,NA,,,,,,
Wetherill,2014,3,Hom.Type.Subj,Qs,Residual,80,31860688,398259,NA,NA,,,,,,
Wetherill,2014,3,Repetitions.Subj,Rs,Residual,80,50515361,631442,NA,NA,,,,,,
Wetherill,2014,3,Bias.Hom.Type.Subj,PQs,Residual,160,68884595,430529,NA,NA,,,,,,
Wetherill,2014,3,Bias.Reps.Subj,PRs,Residual,160,61366067,383538,NA,NA,,,,,,
Wetherill,2014,3,Hom.Type.Reps.Subj,QRs,Residual,80,40642642,508033,NA,NA,,,,,,
Wetherill,2014,3,Bias.Hom.Type.Reps.Subj,PQRs,Residual,160,72354271,452214,NA,NA,,,,,,
Wetherill,2014,3b,,,,,,,,,81,2267.05,169.95,81,2063.75,128.8
